,id,wl_nouctun,wl_noucfog,wl_noucrain,wl_uctun,wl_ucrain
0,NNTZ,74.16666666666667,42.5,20.833333333333336,66.66666666666667,23.333333333333336
1,XSMS,61.66666666666667,61.66666666666667,22.5,58.33333333333333,18.333333333333332
2,ZPQX,65.83333333333333,53.33333333333333,40.0,51.66666666666667,40.0
3,TTQW,31.666666666666664,31.666666666666664,14.166666666666668,29.166666666666664,11.666666666666668
4,TWOU,54.16666666666667,55.0,35.833333333333336,55.0,39.166666666666664
5,OYWO,70.0,21.666666666666664,12.5,51.66666666666667,26.666666666666664
6,SPPV,49.16666666666667,40.83333333333333,33.333333333333336,39.166666666666664,25.0
7,PVOU,46.66666666666667,39.166666666666664,15.833333333333332,68.33333333333333,30.833333333333336
8,TTVN,77.5,60.83333333333333,9.166666666666666,60.0,24.166666666666664
9,WVPV,46.66666666666667,19.166666666666668,10.833333333333332,45.0,16.666666666666668
10,PVNT,79.16666666666667,40.83333333333333,30.833333333333336,55.83333333333333,35.0
11,QPMS,45.0,30.0,34.166666666666664,43.33333333333333,27.5
12,UVUM,60.0,18.333333333333332,14.166666666666668,43.33333333333333,15.0
13,MVNT,46.66666666666667,39.166666666666664,15.0,40.0,14.166666666666668
